"texture1","texture2","concept1","concept2","semantic_distance","identifier","group","perceptual_distance"
"D1","D103","evil","peace",0.00257062480885045,"evil_peace_D1_D103","values",1.38444741029916
"D1","D103","evil","justice",0.0663038623528631,"evil_justice_D1_D103","values",1.38444741029916
"D1","D103","greed","justice",0.0645761962230789,"greed_justice_D1_D103","values",1.38444741029916
"D1","D103","justice","peace",0.0695061665735471,"justice_peace_D1_D103","values",1.38444741029916
"D1","D103","evil","love",0.211889127942524,"evil_love_D1_D103","values",1.38444741029916
"D1","D103","evil","greed",0.131708163628619,"evil_greed_D1_D103","values",1.38444741029916
"D1","D103","love","peace",0.216697717412848,"love_peace_D1_D103","values",1.38444741029916
"D1","D103","justice","love",0.143052524740808,"justice_love_D1_D103","values",1.38444741029916
"D1","D103","greed","love",0.0778892537083518,"greed_love_D1_D103","values",1.38444741029916
"D1","D103","greed","peace",0.135581241462063,"greed_peace_D1_D103","values",1.38444741029916
"D1","D14","greed","love",0.023069185686267,"greed_love_D1_D14","values",1.90397489490527
"D1","D14","evil","peace",0.104521330931052,"evil_peace_D1_D14","values",1.90397489490527
"D1","D14","evil","justice",0.137895277209594,"evil_justice_D1_D14","values",1.90397489490527
"D1","D14","greed","peace",0.131639014760209,"greed_peace_D1_D14","values",1.90397489490527
"D1","D14","greed","justice",0.0913100646794116,"greed_justice_D1_D14","values",1.90397489490527
"D1","D14","justice","love",0.116908116343618,"justice_love_D1_D14","values",1.90397489490527
"D1","D14","love","peace",0.159279155540923,"love_peace_D1_D14","values",1.90397489490527
"D1","D14","justice","peace",0.0377534150653858,"justice_peace_D1_D14","values",1.90397489490527
"D1","D14","evil","love",0.257464097519942,"evil_love_D1_D14","values",1.90397489490527
"D1","D14","evil","greed",0.228291402925591,"evil_greed_D1_D14","values",1.90397489490527
"D1","D22","love","peace",0.445046416594473,"love_peace_D1_D22","values",1.63373585750581
"D1","D22","justice","peace",0.0321706172655687,"justice_peace_D1_D22","values",1.63373585750581
